index,dataset,BLEU,SacreBLEU,chrF++,meteor,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,meteor_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,qa,18.591187226872428,30.084052444421033,57.89655551126918,32.67759707684243,46.439935042876215,41.176944282497686,46.988004840946004,47.130830748477806,4.139703959812257,2.0379581859448175,4.38039194490351,11.057504873294349,14.781358915683859,9.166666666666668,14.965013704830637,15.385937670262612,0
1,summarization,1.755026208522322,4.668359390608744,15.923456303550193,4.58990388531027,15.807978211879991,4.853913630638186,10.825691588459618,11.253870545122343,0.0,0.017202173038093318,0.20305365192456867,2.355255347255824,9.492988474600663,0.6733354248510452,9.316168686175704,9.459386569318266,0
2,translation_eng_center,8.46056970175423,17.813285181926265,34.83562490403806,1.6091476913345986,38.7143931634198,15.352167759403551,36.91059476213866,36.51456206514626,0.0,0.04213965912992991,0.02254283137962128,1.2966476913345986,10.85586702007678,0.0,10.919880247096867,10.92009365432565,0
3,translation_center_eng,50.537187648424855,33.92119845124997,56.53118351139075,61.64728399172521,76.54112276126759,58.51679318334152,69.52969214956521,69.40464959382582,50.537187648424855,33.92119845124997,56.53118351139075,61.64728399172521,76.54112276126759,58.51679318334152,69.52969214956521,69.40464959382582,0
4,conversation,0.0,0.0,0.44495296211543345,2.947189085633231,0.41535551749199456,0.0,0.4163993824564387,0.44303435210881825,0.0,0.0,0.4480788618796909,3.4101520485961947,0.9104532996443013,0.0,0.9234629913356088,1.0390807024603206,0
5,food,0.0,0.0,0.4391743522178305,2.9847773161806246,0.4642254931439026,0.0,0.460420493141221,0.5015404338311757,0.0,0.0,0.4234775980350639,2.000743493759198,0.6736343118783724,0.0,0.6699770715045349,0.7701803363346792,0
