index,dataset,BLEU,SacreBLEU,chrF++,meteor,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,meteor_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,qa,30.739006208289094,37.9781147664609,60.06746253106778,32.31513263835918,66.69757119757121,51.17455389260521,66.9550094050094,67.12827502827503,0.0,1.4271360877970818,3.7579775488745297,8.393031189083821,14.157894736842108,8.529411764705882,14.515037593984964,14.744360902255638,0
1,summarization,7.008038958071183,11.78974586894657,23.469608195287524,5.347365950636581,24.139905678453456,9.303178448606705,17.19612709349061,17.16673571397346,0.0,0.0982895512985934,0.2627695435975497,2.1743770937814175,11.06204350648065,1.4661327938902204,10.695374683315178,10.735946658880014,0
2,translation_eng_south,7.659947197508155,14.646948458463086,36.22976272421145,0.5617977528089887,41.531063727083364,13.54731736408192,38.41683551999123,38.53667434940575,0.0,0.04806692489775608,0.01550387596899225,0.5617977528089887,12.723959551102071,0.0,12.688886648792447,12.830401760642596,0
3,translation_south_eng,27.102474315921,15.212211678893272,29.16011401871583,32.64138584389211,50.89619330859041,31.990447360604037,46.973292644291206,46.76562315975746,25.59373443515992,14.392862399471944,34.13105253982337,32.64138584389211,52.661895574047236,32.39322212438067,48.746401615028034,48.62072216850791,0
4,conversation,0.0,0.0,1.2014417300760913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1525163273146368,0.0,0.0,0.0,0.0,0.0,0
5,food,0.0,0.0,0.8917954815695602,7.056721208676678,1.063370274404602,0.0,1.0576242524313995,1.155387588702854,0.0,0.0,0.817290228841264,0.0,1.8890978631580873,0.0,1.8911117790524234,2.240998555304884,0
