index,dataset,BLEU,SacreBLEU,chrF++,meteor,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,meteor_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,qa,33.63133495777529,42.80729710729395,46.886019783697364,22.474648883764807,58.229616265450545,45.72835497835498,56.029283256275676,55.80492656628204,0.0,0.12598945768013267,0.2305435657478496,3.302545155993432,9.109763402216233,3.2352941176470584,8.885558864446569,8.872108947048082,0
1,summarization,3.7797151443871377,6.944195648887794,30.627499142606418,6.315395335474057,23.236015580442427,8.34587961402573,14.669626062131627,15.214979279296942,0.0,0.019384357930755294,0.2454499747605915,3.678348160579757,12.271827634919665,1.227384464110128,12.131394634357616,12.281483744322186,0
2,translation_eng_center,21.91560578421196,30.457055752901354,50.70763598582674,1.755050505050505,59.744717473943695,30.050647738698732,56.94562953942446,56.92135852042235,0.0,0.04358146606772871,0.023018138292974864,1.755050505050505,12.889729018013545,0.0,12.806711526323156,12.77793686898508,0
3,translation_center_eng,62.81929113875429,46.95629722076633,65.99520882924071,70.36600135319347,82.73770837429974,69.10713947233788,79.25017084035642,79.28886633406515,62.81929113875429,46.95629722076633,65.99520882924071,70.36600135319347,82.73770837429974,69.10713947233788,79.25017084035642,79.28886633406515,0
4,conversation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,food,0.0,0.0,0.4191114836546521,2.5811366612641486,0.4351945048320069,0.0,0.43504063233600376,0.4728318751168968,0.0,0.0,0.38672751179518905,2.417256761181146,0.7642680054432608,0.0,0.7645874219112305,0.8855346445086274,0
