index,dataset,BLEU,SacreBLEU,chrF++,meteor,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,meteor_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,qa,26.509648049985586,33.13978293135388,61.054888409809685,38.586474005435875,60.97385204664618,43.05748984535801,60.74018034395272,59.95883873831445,12.49585858469118,2.4736953239279074,4.912183179899438,11.906103303084233,15.259717922256621,8.638888888888888,14.806255835667601,14.972787360558259,0
1,summarization,6.277910969331988,10.359576101414238,32.52718006943541,7.776110176300033,29.570139766731423,11.042299823974874,20.06500048540187,20.04423061389443,0.0,0.062238954352524085,0.33378424683730273,4.069223680970489,15.163445572910705,1.1566859124821371,15.214596604706133,14.984008802297266,0
2,translation_eng_center,11.409636484121735,16.2095818222449,39.96948208060665,0.7911029580371475,47.92838842080618,17.368060183328016,44.24163146539405,44.51554409553715,0.0,0.04450433667343747,0.023075503045966405,0.5102040816326531,12.828317019592328,0.21739130434782614,12.574423294985865,12.613082071205984,0
3,translation_center_eng,44.605086940492455,26.098245255490664,48.721708669967235,49.15421984286096,72.90399799674385,52.392209582617134,66.61423867955065,66.79784278053056,44.605086940492455,26.098245255490664,48.721708669967235,49.15421984286096,72.90399799674385,52.392209582617134,66.61423867955065,66.79784278053056,0
4,conversation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,food,0.0,0.0,0.07274843590862795,0.3875968992248063,0.0625,0.0,0.0625,0.07042253521126761,0.0,0.0,0.07136739937196687,0.4273504273504274,0.09174311926605502,0.0,0.09174311926605502,0.10989010989010989,0
